N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.9094164735622499,0.882785593796288,0.8797553392528155,0.8788683963738668,0.8988417399707185,0.8666065955134644
Model2,500,2,1,0.9152096060669896,0.8761974508574231,0.8922986487179531,0.8866833385432947,0.8865152736619808,0.8834290439359421
Model3,500,3,1,0.9197387823888772,0.8999042798049605,0.9063085575642325,0.9005939356048765,0.9101659156496221,0.901022274399031
Model4,500,1,2,0.9365915314935749,0.9198471916556854,0.9268626882573135,0.9202875898718349,0.9219147426965163,0.9194720106071043
Model5,500,2,2,0.9432273014535496,0.9438684269905151,0.9422094554259621,0.9434198186933417,0.9344333647436898,0.9369940590794597
Model6,500,3,2,0.9477564777754371,0.9484866812547275,0.9456182162037489,0.944357611753673,0.9461861138297217,0.9415574194514683
Model7,800,1,2,0.9380661470402359,0.9238427720079209,0.9296210921722997,0.9215379806189434,0.9276343646684303,0.9230125126861882
Model8,800,2,2,0.9532336212344639,0.9495605023036411,0.950883810890886,0.9459206001875586,0.9490870069960038,0.9467821726474009
Model9,800,3,2,0.945965873183063,0.954585641927704,0.9487434489579906,0.9512347608627696,0.9478276163613666,0.9473998089048882
